ID,cpu_type,cpu_freqcpu_cores,ram_gb,has_nvidia,nvidia_gpu_name,nvidia_vram_gb,os,batch_size,buffer_size,learning_rate,beta,epsilon,lambd,num_epoch,learning_rate_schedule,ram_mb_used,ram_usage_percent,ram_avg_percent,benchmark_steps,benchmark_mean,benchmark_reached
3DBallPPOEpsilon.4.SP.1,12th Gen Intel(R) Core(TM) i7-12700H,2.69,20,16,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,16,12000,0.0003,0.001,0.16,0.99,3,linear,13774.19,75.7,79.91,180000,100.0,True
3DBallPPOEpsilon.4.SP.10,12th Gen Intel(R) Core(TM) i7-12700H,2.69,20,16,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,16,12000,0.0003,0.001,0.18,0.99,7,linear,12444.97,74.6,74.03,120000,100.0,True
3DBallPPOEpsilon.4.SP.11,12th Gen Intel(R) Core(TM) i7-12700H,2.69,20,16,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,16,12000,0.0003,0.001,0.22,0.99,3,linear,12769.77,74.6,74.58,108000,100.0,True
3DBallPPOEpsilon.4.SP.12,12th Gen Intel(R) Core(TM) i7-12700H,2.69,20,16,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,16,12000,0.0003,0.001,0.22,0.99,4,linear,12337.8,66.6,71.85,132000,100.0,True
3DBallPPOEpsilon.4.SP.13,12th Gen Intel(R) Core(TM) i7-12700H,2.69,20,16,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,16,12000,0.0003,0.001,0.22,0.99,5,linear,11077.64,67.3,67.16,144000,100.0,True
3DBallPPOEpsilon.4.SP.14,12th Gen Intel(R) Core(TM) i7-12700H,2.69,20,16,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,16,12000,0.0003,0.001,0.22,0.99,6,linear,12479.64,74.1,73.15,132000,100.0,True
3DBallPPOEpsilon.4.SP.15,12th Gen Intel(R) Core(TM) i7-12700H,2.69,20,16,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,16,12000,0.0003,0.001,0.22,0.99,7,linear,12152.62,63.9,74.48,156000,100.0,True
3DBallPPOEpsilon.4.SP.16,12th Gen Intel(R) Core(TM) i7-12700H,2.69,20,16,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,16,12000,0.0003,0.001,0.24,0.99,3,linear,10340.12,63.9,63.66,132000,100.0,True
3DBallPPOEpsilon.4.SP.17,12th Gen Intel(R) Core(TM) i7-12700H,2.69,20,16,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,16,12000,0.0003,0.001,0.24,0.99,4,linear,10552.59,65.7,64.71,84000,100.0,True
3DBallPPOEpsilon.4.SP.18,12th Gen Intel(R) Core(TM) i7-12700H,2.69,20,16,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,16,12000,0.0003,0.001,0.24,0.99,5,linear,10794.15,65.9,65.76,96000,100.0,True
3DBallPPOEpsilon.4.SP.19,12th Gen Intel(R) Core(TM) i7-12700H,2.69,20,16,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,16,12000,0.0003,0.001,0.24,0.99,6,linear,10719.82,66.4,66.3,120000,100.0,True
3DBallPPOEpsilon.4.SP.2,12th Gen Intel(R) Core(TM) i7-12700H,2.69,20,16,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,16,12000,0.0003,0.001,0.16,0.99,4,linear,10775.27,66.6,66.57,144000,100.0,True
3DBallPPOEpsilon.4.SP.20,12th Gen Intel(R) Core(TM) i7-12700H,2.69,20,16,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,16,12000,0.0003,0.001,0.24,0.99,7,linear,11990.81,70.2,66.75,204000,100.0,True
3DBallPPOEpsilon.4.SP.21,12th Gen Intel(R) Core(TM) i7-12700H,2.69,20,16,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,32,12000,0.0003,0.001,0.16,0.99,3,linear,11352.65,67.6,68.47,228000,100.0,True
3DBallPPOEpsilon.4.SP.22,12th Gen Intel(R) Core(TM) i7-12700H,2.69,20,16,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,32,12000,0.0003,0.001,0.16,0.99,4,linear,11010.89,68.1,68.24,156000,100.0,True
3DBallPPOEpsilon.4.SP.23,12th Gen Intel(R) Core(TM) i7-12700H,2.69,20,16,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,32,12000,0.0003,0.001,0.16,0.99,5,linear,11007.93,68.2,67.96,168000,100.0,True
3DBallPPOEpsilon.4.SP.24,12th Gen Intel(R) Core(TM) i7-12700H,2.69,20,16,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,32,12000,0.0003,0.001,0.16,0.99,6,linear,11118.05,69.4,69.07,144000,100.0,True
3DBallPPOEpsilon.4.SP.25,12th Gen Intel(R) Core(TM) i7-12700H,2.69,20,16,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,32,12000,0.0003,0.001,0.16,0.99,7,linear,12783.66,79.2,71.31,192000,100.0,True
3DBallPPOEpsilon.4.SP.26,12th Gen Intel(R) Core(TM) i7-12700H,2.69,20,16,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,32,12000,0.0003,0.001,0.18,0.99,3,linear,12761.48,75.3,76.98,144000,100.0,True
3DBallPPOEpsilon.4.SP.27,12th Gen Intel(R) Core(TM) i7-12700H,2.69,20,16,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,32,12000,0.0003,0.001,0.18,0.99,4,linear,12173.14,73.3,74.35,156000,100.0,True
3DBallPPOEpsilon.4.SP.28,12th Gen Intel(R) Core(TM) i7-12700H,2.69,20,16,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,32,12000,0.0003,0.001,0.18,0.99,5,linear,11876.69,73.9,74.01,108000,100.0,True
3DBallPPOEpsilon.4.SP.29,12th Gen Intel(R) Core(TM) i7-12700H,2.69,20,16,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,32,12000,0.0003,0.001,0.18,0.99,6,linear,11887.68,72.4,72.54,120000,100.0,True
3DBallPPOEpsilon.4.SP.3,12th Gen Intel(R) Core(TM) i7-12700H,2.69,20,16,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,16,12000,0.0003,0.001,0.16,0.99,5,linear,11740.66,70.9,71.87,120000,100.0,True
3DBallPPOEpsilon.4.SP.30,12th Gen Intel(R) Core(TM) i7-12700H,2.69,20,16,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,32,12000,0.0003,0.001,0.18,0.99,7,linear,11507.58,71.8,71.55,180000,100.0,True
3DBallPPOEpsilon.4.SP.31,12th Gen Intel(R) Core(TM) i7-12700H,2.69,20,16,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,32,12000,0.0003,0.001,0.22,0.99,3,linear,11561.05,71.8,71.93,108000,100.0,True
3DBallPPOEpsilon.4.SP.32,12th Gen Intel(R) Core(TM) i7-12700H,2.69,20,16,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,32,12000,0.0003,0.001,0.22,0.99,4,linear,11585.17,72.0,71.96,132000,100.0,True
3DBallPPOEpsilon.4.SP.33,12th Gen Intel(R) Core(TM) i7-12700H,2.69,20,16,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,32,12000,0.0003,0.001,0.22,0.99,5,linear,11574.62,69.0,69.6,132000,100.0,True
3DBallPPOEpsilon.4.SP.34,12th Gen Intel(R) Core(TM) i7-12700H,2.69,20,16,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,32,12000,0.0003,0.001,0.22,0.99,6,linear,12635.54,69.8,69.71,168000,100.0,True
3DBallPPOEpsilon.4.SP.35,12th Gen Intel(R) Core(TM) i7-12700H,2.69,20,16,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,32,12000,0.0003,0.001,0.22,0.99,7,linear,11358.56,70.3,70.17,144000,100.0,True
3DBallPPOEpsilon.4.SP.36,12th Gen Intel(R) Core(TM) i7-12700H,2.69,20,16,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,32,12000,0.0003,0.001,0.24,0.99,3,linear,11457.38,70.1,70.61,168000,100.0,True
3DBallPPOEpsilon.4.SP.37,12th Gen Intel(R) Core(TM) i7-12700H,2.69,20,16,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,32,12000,0.0003,0.001,0.24,0.99,4,linear,11560.52,72.0,71.93,96000,100.0,True
3DBallPPOEpsilon.4.SP.38,12th Gen Intel(R) Core(TM) i7-12700H,2.69,20,16,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,32,12000,0.0003,0.001,0.24,0.99,5,linear,11628.09,72.1,71.93,84000,100.0,True
3DBallPPOEpsilon.4.SP.39,12th Gen Intel(R) Core(TM) i7-12700H,2.69,20,16,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,32,12000,0.0003,0.001,0.24,0.99,6,linear,11700.48,72.4,72.49,168000,100.0,True
3DBallPPOEpsilon.4.SP.4,12th Gen Intel(R) Core(TM) i7-12700H,2.69,20,16,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,16,12000,0.0003,0.001,0.16,0.99,6,linear,11728.21,72.2,72.42,192000,100.0,True
3DBallPPOEpsilon.4.SP.40,12th Gen Intel(R) Core(TM) i7-12700H,2.69,20,16,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,32,12000,0.0003,0.001,0.24,0.99,7,linear,11718.44,73.0,72.96,84000,100.0,True
3DBallPPOEpsilon.4.SP.41,12th Gen Intel(R) Core(TM) i7-12700H,2.69,20,16,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,64,12000,0.0003,0.001,0.16,0.99,3,linear,11767.41,73.1,73.16,144000,100.0,True
