ID,cpu_type,cpu_freqcpu_cores,ram_gb,has_nvidia,nvidia_gpu_name,nvidia_vram_gb,os,batch_size,buffer_size,learning_rate,beta,epsilon,lambd,num_epoch,learning_rate_schedule,ram_mb_used,ram_usage_percent,ram_avg_percent,benchmark_steps,benchmark_mean,benchmark_reached
BasicPP0Beta.2.SS.1,Apple M4,unknown,10,16.0,False,,,Darwin,16,256,0.0003,0.002,0.04,0.95,3,linear,6712.36,75.3,75.58,16000,0.93,True
BasicPP0Beta.2.SS.10,Apple M4,unknown,10,16.0,False,,,Darwin,16,256,0.0003,0.002,0.06,0.95,7,linear,6666.22,72.4,73.46,12000,0.93,True
BasicPP0Beta.2.SS.100,Apple M4,unknown,10,16.0,False,,,Darwin,16,256,0.0003,0,0.06,0.95,7,linear,6519.88,73.5,73.19,16000,0.93,True
BasicPP0Beta.2.SS.1000,Apple M4,unknown,10,16.0,False,,,Darwin,128,256,0.0003,6,0.06,0.95,7,linear,6543.12,72.6,72.94,294000,0.919,False
BasicPP0Beta.2.SS.1001,Apple M4,unknown,10,16.0,False,,,Darwin,128,256,0.0003,6,0.08,0.95,3,linear,6554.48,75.4,73.34,284000,0.889,False
BasicPP0Beta.2.SS.1002,Apple M4,unknown,10,16.0,False,,,Darwin,128,256,0.0003,6,0.08,0.95,4,linear,6504.5,72.8,73.29,294000,0.909,False
BasicPP0Beta.2.SS.1003,Apple M4,unknown,10,16.0,False,,,Darwin,128,256,0.0003,6,0.08,0.95,5,linear,6568.02,73.6,73.13,300000,0.909,False
BasicPP0Beta.2.SS.1004,Apple M4,unknown,10,16.0,False,,,Darwin,128,256,0.0003,6,0.08,0.95,6,linear,6519.2,72.9,73.41,296000,0.915,False
BasicPP0Beta.2.SS.1005,Apple M4,unknown,10,16.0,False,,,Darwin,128,256,0.0003,6,0.08,0.95,7,linear,6557.66,74.1,73.5,290000,0.92,False
BasicPP0Beta.2.SS.1006,Apple M4,unknown,10,16.0,False,,,Darwin,128,256,0.0003,6,0.12,0.95,3,linear,6526.59,72.9,73.5,296000,0.899,False
