ID,cpu_type,cpu_freqcpu_cores,ram_gb,has_nvidia,nvidia_gpu_name,nvidia_vram_gb,os,batch_size,buffer_size,learning_rate,beta,epsilon,lambd,num_epoch,learning_rate_schedule,ram_mb_used,ram_usage_percent,ram_avg_percent,benchmark_steps,benchmark_mean,benchmark_reached
BasicPPO.02.CB.1,AMD Ryzen 9 7945HX with Radeon Graphics,2.5,32,31,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,16,256,0.0003,0.005,0.04,0.95,3,linear,16130.91,49.6,49.5,8000,0.083,False
BasicPPO.02.CB.10,AMD Ryzen 9 7945HX with Radeon Graphics,2.5,32,31,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,16,256,0.0003,0.005,0.06,0.95,7,linear,15846.83,49.5,49.53,12000,0.93,True
BasicPPO.02.CB.100,AMD Ryzen 9 7945HX with Radeon Graphics,2.5,32,31,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,128,256,0.0003,0.005,0.06,0.95,7,linear,15845.33,49.6,49.52,22000,0.93,True
BasicPPO.02.CB.101,AMD Ryzen 9 7945HX with Radeon Graphics,2.5,32,31,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,128,256,0.0003,0.005,0.08,0.95,3,linear,15947.54,49.9,49.5,48000,0.93,True
BasicPPO.02.CB.102,AMD Ryzen 9 7945HX with Radeon Graphics,2.5,32,31,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,128,256,0.0003,0.005,0.08,0.95,4,linear,15964.75,49.9,49.87,36000,0.93,True
BasicPPO.02.CB.103,AMD Ryzen 9 7945HX with Radeon Graphics,2.5,32,31,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,128,256,0.0003,0.005,0.08,0.95,5,linear,15971.15,49.9,49.91,36000,0.93,True
BasicPPO.02.CB.104,AMD Ryzen 9 7945HX with Radeon Graphics,2.5,32,31,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,128,256,0.0003,0.005,0.08,0.95,6,linear,15972.58,49.8,49.87,26000,0.93,True
BasicPPO.02.CB.105,AMD Ryzen 9 7945HX with Radeon Graphics,2.5,32,31,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,128,256,0.0003,0.005,0.08,0.95,7,linear,15962.96,46.0,49.73,24000,0.93,True
BasicPPO.02.CB.106,AMD Ryzen 9 7945HX with Radeon Graphics,2.5,32,31,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,128,256,0.0003,0.005,0.12,0.95,3,linear,14711.33,45.8,45.93,44000,0.93,True
BasicPPO.02.CB.107,AMD Ryzen 9 7945HX with Radeon Graphics,2.5,32,31,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,128,256,0.0003,0.005,0.12,0.95,4,linear,14740.96,46.2,45.9,36000,0.93,True
BasicPPO.02.CB.108,AMD Ryzen 9 7945HX with Radeon Graphics,2.5,32,31,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,128,256,0.0003,0.005,0.12,0.95,5,linear,14785.03,45.6,46.08,30000,0.93,True
BasicPPO.02.CB.109,AMD Ryzen 9 7945HX with Radeon Graphics,2.5,32,31,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,128,256,0.0003,0.005,0.12,0.95,6,linear,15544.48,48.2,46.59,22000,0.93,True
