ID,cpu_type,cpu_freqcpu_cores,ram_gb,has_nvidia,nvidia_gpu_name,nvidia_vram_gb,os,batch_size,buffer_size,learning_rate,beta,epsilon,lambd,num_epoch,learning_rate_schedule,ram_mb_used,ram_usage_percent,ram_avg_percent,benchmark_steps,benchmark_mean,benchmark_reached
BasicPPO.2.SS.1,Apple M4,10-core,10,16.0,False,,Apple,Darwin,16,256,0.0003,0.005,0.2,0.95,3,linear,6148.34,76.4,78.62,12000,0.93,True
BasicPPO.2.SS.10,Apple M4,10-core,10,16.0,False,,Apple,Darwin,32,256,0.0003,0.005,0.2,0.95,7,linear,6149.97,76.0,76.49,10000,0.93,True
BasicPPO.2.SS.11,Apple M4,10-core,10,16.0,False,,Apple,Darwin,64,256,0.0003,0.005,0.2,0.95,3,linear,6114.84,76.4,76.19,28000,0.93,True
BasicPPO.2.SS.12,Apple M4,10-core,10,16.0,False,,Apple,Darwin,64,256,0.0003,0.005,0.2,0.95,4,linear,6164.56,76.6,75.99,22000,0.93,True
BasicPPO.2.SS.13,Apple M4,10-core,10,16.0,False,,Apple,Darwin,64,256,0.0003,0.005,0.2,0.95,5,linear,6258.97,76.1,76.05,18000,0.93,True
BasicPPO.2.SS.14,Apple M4,10-core,10,16.0,False,,Apple,Darwin,64,256,0.0003,0.005,0.2,0.95,6,linear,6089.17,76.1,76.42,14000,0.93,True
BasicPPO.2.SS.15,Apple M4,10-core,10,16.0,False,,Apple,Darwin,64,256,0.0003,0.005,0.2,0.95,7,linear,6258.38,76.1,76.4,12000,0.93,True
BasicPPO.2.SS.16,Apple M4,10-core,10,16.0,False,,Apple,Darwin,128,256,0.0003,0.005,0.2,0.95,3,linear,6380.27,75.2,75.4,50000,0.93,True
BasicPPO.2.SS.17,Apple M4,10-core,10,16.0,False,,Apple,Darwin,128,256,0.0003,0.005,0.2,0.95,4,linear,6222.55,80.0,76.61,38000,0.93,True
BasicPPO.2.SS.18,Apple M4,10-core,10,16.0,False,,Apple,Darwin,128,256,0.0003,0.005,0.2,0.95,5,linear,6138.97,76.2,76.27,30000,0.93,True
BasicPPO.2.SS.19,Apple M4,10-core,10,16.0,False,,Apple,Darwin,128,256,0.0003,0.005,0.2,0.95,6,linear,6310.95,78.3,75.65,30000,0.93,True
BasicPPO.2.SS.2,Apple M4,10-core,10,16.0,False,,Apple,Darwin,16,256,0.0003,0.005,0.2,0.95,4,linear,6478.73,76.5,74.49,12000,0.93,True
BasicPPO.2.SS.20,Apple M4,10-core,10,16.0,False,,Apple,Darwin,128,256,0.0003,0.005,0.2,0.95,7,linear,6388.12,74.4,74.64,24000,0.93,True
BasicPPO.2.SS.3,Apple M4,10-core,10,16.0,False,,Apple,Darwin,16,256,0.0003,0.005,0.2,0.95,5,linear,6412.75,73.8,74.68,10000,0.93,True
BasicPPO.2.SS.4,Apple M4,10-core,10,16.0,False,,Apple,Darwin,16,256,0.0003,0.005,0.2,0.95,6,linear,6404.86,76.0,75.66,8000,0.93,True
BasicPPO.2.SS.5,Apple M4,10-core,10,16.0,False,,Apple,Darwin,16,256,0.0003,0.005,0.2,0.95,7,linear,6216.8,74.8,75.0,8000,0.93,True
BasicPPO.2.SS.6,Apple M4,10-core,10,16.0,False,,Apple,Darwin,32,256,0.0003,0.005,0.2,0.95,3,linear,6122.62,76.6,75.03,16000,0.93,True
BasicPPO.2.SS.7,Apple M4,10-core,10,16.0,False,,Apple,Darwin,32,256,0.0003,0.005,0.2,0.95,4,linear,6872.92,72.8,73.44,14000,0.93,True
BasicPPO.2.SS.8,Apple M4,10-core,10,16.0,False,,Apple,Darwin,32,256,0.0003,0.005,0.2,0.95,5,linear,7117.81,73.0,73.2,14000,0.93,True
BasicPPO.2.SS.9,Apple M4,10-core,10,16.0,False,,Apple,Darwin,32,256,0.0003,0.005,0.2,0.95,6,linear,6808.61,73.4,72.88,10000,0.93,True
