Step,Environment/Cumulative Reward,Environment/Episode Length,Losses/Policy Loss,Losses/Value Loss,Policy/Entropy,Policy/Learning Rate,Policy/Epsilon
5000,,,,,1.4189385175704956,,
10000,0.29464074969291687,999.0,,,1.4189385175704956,,
15000,0.0,,,,1.4189385175704956,,
20000,0.40079599618911743,999.0,,,1.4189385175704956,,
25000,1.2053321599960327,,,,1.4189385175704956,,
30000,0.33086439967155457,999.0,,,1.4189385175704956,,
35000,0.0,,,,1.4189385175704956,,
40000,0.19652989506721497,999.0,,,1.4189385175704956,,
45000,0.5103455781936646,,0.02031576633453369,0.04197869449853897,1.4152978658676147,0.000399148790165782,0.1997871994972229
50000,0.6098542213439941,999.0,,,1.4116572141647339,,
55000,0.0,,,,1.4116572141647339,,
60000,0.11743894964456558,999.0,,,1.4116572141647339,,
65000,0.4488503932952881,,,,1.4116572141647339,,
70000,0.1698913723230362,999.0,,,1.4116572141647339,,
75000,0.0,,,,1.4116572141647339,,
80000,0.2916254997253418,999.0,,,1.4116572141647339,,
85000,0.1341092586517334,,,,1.4116572141647339,,
90000,0.15341222286224365,999.0,0.019559888169169426,0.007649135775864124,1.4078289270401,0.0003982975904364139,0.19957439601421356
95000,0.0,,,,1.4078289270401,,
100000,0.24768026173114777,999.0,,,1.4078289270401,,
105000,0.526181697845459,,,,1.4078289270401,,
110000,0.08655577152967453,999.0,,,1.4078289270401,,
115000,0.0,,,,1.4078289270401,,
120000,0.3964707851409912,999.0,,,1.4078289270401,,
125000,1.324004888534546,,,,1.4078289270401,,
130000,0.5411491394042969,999.0,0.01931256428360939,0.0043916236609220505,1.4067137241363525,0.0003974463907070458,0.19936160743236542
135000,0.0,,,,1.4054832458496094,,
140000,0.5801010131835938,999.0,,,1.4054832458496094,,
145000,0.8805595636367798,,,,1.4054832458496094,,
150000,0.11339377611875534,999.0,,,1.4054832458496094,,
155000,0.1937001794576645,,,,1.4054832458496094,,
160000,0.3267819881439209,999.0,,,1.4054832458496094,,
165000,0.0,,,,1.4054832458496094,,
170000,0.25672563910484314,999.0,,,1.4054832458496094,,
175000,0.7078102231025696,,0.016589468345046043,0.003645554417744279,1.4038220643997192,0.00039659999310970306,0.1991499960422516
180000,0.5796383023262024,999.0,,,1.4038219451904297,,
185000,0.0,,,,1.4038220643997192,,
190000,0.1763675957918167,999.0,,,1.4038219451904297,,
195000,0.0,,,,1.4038220643997192,,
200000,0.5589864253997803,999.0,,,1.4038219451904297,,
205000,0.0,,,,1.4038220643997192,,
210000,0.4609498679637909,999.0,,,1.4038219451904297,,
215000,0.5568913221359253,,0.018860863521695137,0.0029907049611210823,1.4035459756851196,0.000395748793380335,0.19893719255924225
220000,0.4993438720703125,999.0,,,1.403269648551941,,
225000,0.0,,,,1.4032697677612305,,
230000,0.5377904772758484,999.0,,,1.403269648551941,,
235000,1.5083529949188232,,,,1.4032697677612305,,
240000,0.29544803500175476,999.0,,,1.403269648551941,,
245000,0.0,,,,1.4032697677612305,,
250000,0.5828774571418762,999.0,,,1.403269648551941,,
255000,0.22020664811134338,,,,1.4032697677612305,,
260000,0.5355986952781677,999.0,0.015340100042521954,0.0028621330857276917,1.4034676551818848,0.0003948975936509669,0.1987244039773941
265000,0.0,,,,1.4034675359725952,,
270000,0.5156415104866028,999.0,,,1.4034676551818848,,
275000,0.0,,,,1.4034675359725952,,
280000,0.1671961545944214,999.0,,,1.4034676551818848,,
