ID,cpu_type,cpu_freqcpu_cores,ram_gb,has_nvidia,nvidia_gpu_name,nvidia_vram_gb,os,batch_size,buffer_size,learning_rate,beta,epsilon,lambd,num_epoch,learning_rate_schedule,ram_mb_used,ram_usage_percent,ram_avg_percent,benchmark_steps,benchmark_mean,benchmark_reached
BasicPP0Epsilon.3.SS.1,Apple M4,unknown,10,16.0,False,,,Darwin,16,256,0.0003,0.005,0.04,0.95,3,linear,7035.59,82.0,81.58,16000,0.07,False
BasicPP0Epsilon.3.SS.10,Apple M4,unknown,10,16.0,False,,,Darwin,16,256,0.0003,0.005,0.06,0.95,7,linear,6733.94,82.3,82.38,14000,0.93,True
BasicPP0Epsilon.3.SS.100,Apple M4,unknown,10,16.0,False,,,Darwin,128,256,0.0003,0.005,0.06,0.95,7,linear,6896.19,80.0,81.24,28000,0.93,True
BasicPP0Epsilon.3.SS.101,Apple M4,unknown,10,16.0,False,,,Darwin,128,256,0.0003,0.005,0.08,0.95,3,linear,6717.59,80.8,80.13,54000,0.93,True
BasicPP0Epsilon.3.SS.102,Apple M4,unknown,10,16.0,False,,,Darwin,128,256,0.0003,0.005,0.08,0.95,4,linear,6851.7,74.9,77.25,40000,0.93,True
BasicPP0Epsilon.3.SS.103,Apple M4,unknown,10,16.0,False,,,Darwin,128,256,0.0003,0.005,0.08,0.95,5,linear,6827.2,78.3,78.06,32000,0.93,True
BasicPP0Epsilon.3.SS.104,Apple M4,unknown,10,16.0,False,,,Darwin,128,256,0.0003,0.005,0.08,0.95,6,linear,6420.58,78.2,77.7,28000,0.93,True
BasicPP0Epsilon.3.SS.105,Apple M4,unknown,10,16.0,False,,,Darwin,128,256,0.0003,0.005,0.08,0.95,7,linear,6601.34,76.7,76.88,24000,0.93,True
BasicPP0Epsilon.3.SS.106,Apple M4,unknown,10,16.0,False,,,Darwin,128,256,0.0003,0.005,0.12,0.95,3,linear,6482.11,77.4,77.95,52000,0.93,True
BasicPP0Epsilon.3.SS.107,Apple M4,unknown,10,16.0,False,,,Darwin,128,256,0.0003,0.005,0.12,0.95,4,linear,6479.92,77.6,76.8,40000,0.93,True
BasicPP0Epsilon.3.SS.108,Apple M4,unknown,10,16.0,False,,,Darwin,128,256,0.0003,0.005,0.12,0.95,5,linear,6536.42,76.4,77.4,32000,0.93,True
BasicPP0Epsilon.3.SS.109,Apple M4,unknown,10,16.0,False,,,Darwin,128,256,0.0003,0.005,0.12,0.95,6,linear,6526.73,78.3,77.78,28000,0.93,True
BasicPP0Epsilon.3.SS.11,Apple M4,unknown,10,16.0,False,,,Darwin,16,256,0.0003,0.005,0.08,0.95,3,linear,6386.05,77.8,77.59,14000,0.93,True
BasicPP0Epsilon.3.SS.110,Apple M4,unknown,10,16.0,False,,,Darwin,128,256,0.0003,0.005,0.12,0.95,7,linear,6476.89,78.5,78.0,26000,0.93,True
BasicPP0Epsilon.3.SS.111,Apple M4,unknown,10,16.0,False,,,Darwin,128,256,0.0003,0.005,0.14,0.95,3,linear,6328.16,77.9,78.67,56000,0.93,True
BasicPP0Epsilon.3.SS.112,Apple M4,unknown,10,16.0,False,,,Darwin,128,256,0.0003,0.005,0.14,0.95,4,linear,6510.23,76.4,77.31,38000,0.93,True
BasicPP0Epsilon.3.SS.113,Apple M4,unknown,10,16.0,False,,,Darwin,128,256,0.0003,0.005,0.14,0.95,5,linear,6393.27,77.6,78.3,26000,0.93,True
BasicPP0Epsilon.3.SS.114,Apple M4,unknown,10,16.0,False,,,Darwin,128,256,0.0003,0.005,0.14,0.95,6,linear,6518.91,77.6,77.58,24000,0.93,True
BasicPP0Epsilon.3.SS.115,Apple M4,unknown,10,16.0,False,,,Darwin,128,256,0.0003,0.005,0.14,0.95,7,linear,6481.7,78.9,77.65,22000,0.93,True
BasicPP0Epsilon.3.SS.116,Apple M4,unknown,10,16.0,False,,,Darwin,128,256,0.0003,0.005,0.16,0.95,3,linear,6223.19,78.2,78.08,46000,0.93,True
BasicPP0Epsilon.3.SS.117,Apple M4,unknown,10,16.0,False,,,Darwin,128,256,0.0003,0.005,0.16,0.95,4,linear,6384.78,77.9,78.5,10000,0.071,False
BasicPP0Epsilon.3.SS.118,Apple M4,unknown,10,16.0,False,,,Darwin,128,256,0.0003,0.005,0.16,0.95,5,linear,6266.56,78.6,78.33,32000,0.93,True
BasicPP0Epsilon.3.SS.119,Apple M4,unknown,10,16.0,False,,,Darwin,128,256,0.0003,0.005,0.16,0.95,6,linear,6286.84,77.6,78.02,24000,0.93,True
BasicPP0Epsilon.3.SS.12,Apple M4,unknown,10,16.0,False,,,Darwin,16,256,0.0003,0.005,0.08,0.95,4,linear,6411.41,78.2,78.14,14000,0.93,True
BasicPP0Epsilon.3.SS.120,Apple M4,unknown,10,16.0,False,,,Darwin,128,256,0.0003,0.005,0.16,0.95,7,linear,6308.98,77.5,78.2,24000,0.93,True
BasicPP0Epsilon.3.SS.13,Apple M4,unknown,10,16.0,False,,,Darwin,16,256,0.0003,0.005,0.08,0.95,5,linear,6444.5,78.7,78.13,12000,0.93,True
BasicPP0Epsilon.3.SS.14,Apple M4,unknown,10,16.0,False,,,Darwin,16,256,0.0003,0.005,0.08,0.95,6,linear,6431.33,78.9,77.96,14000,0.93,True
BasicPP0Epsilon.3.SS.15,Apple M4,unknown,10,16.0,False,,,Darwin,16,256,0.0003,0.005,0.08,0.95,7,linear,6280.91,77.6,78.46,12000,0.93,True
BasicPP0Epsilon.3.SS.16,Apple M4,unknown,10,16.0,False,,,Darwin,16,256,0.0003,0.005,0.12,0.95,3,linear,6372.34,78.6,78.82,14000,0.93,True
BasicPP0Epsilon.3.SS.17,Apple M4,unknown,10,16.0,False,,,Darwin,16,256,0.0003,0.005,0.12,0.95,4,linear,6259.5,78.2,78.24,12000,0.93,True
BasicPP0Epsilon.3.SS.18,Apple M4,unknown,10,16.0,False,,,Darwin,16,256,0.0003,0.005,0.12,0.95,5,linear,6347.92,79.0,79.13,10000,0.93,True
BasicPP0Epsilon.3.SS.19,Apple M4,unknown,10,16.0,False,,,Darwin,16,256,0.0003,0.005,0.12,0.95,6,linear,6270.12,77.8,78.49,10000,0.93,True
BasicPP0Epsilon.3.SS.2,Apple M4,unknown,10,16.0,False,,,Darwin,16,256,0.0003,0.005,0.04,0.95,4,linear,6329.41,79.0,79.12,18000,0.93,True
BasicPP0Epsilon.3.SS.20,Apple M4,unknown,10,16.0,False,,,Darwin,16,256,0.0003,0.005,0.12,0.95,7,linear,6388.05,77.4,77.86,10000,0.93,True
BasicPP0Epsilon.3.SS.21,Apple M4,unknown,10,16.0,False,,,Darwin,16,256,0.0003,0.005,0.14,0.95,3,linear,6376.28,78.7,78.99,12000,0.93,True
BasicPP0Epsilon.3.SS.22,Apple M4,unknown,10,16.0,False,,,Darwin,16,256,0.0003,0.005,0.14,0.95,4,linear,6266.91,78.4,78.49,14000,0.93,True
BasicPP0Epsilon.3.SS.23,Apple M4,unknown,10,16.0,False,,,Darwin,16,256,0.0003,0.005,0.14,0.95,5,linear,6310.92,78.7,79.25,16000,0.93,True
BasicPP0Epsilon.3.SS.24,Apple M4,unknown,10,16.0,False,,,Darwin,16,256,0.0003,0.005,0.14,0.95,6,linear,6203.42,78.9,79.05,10000,0.93,True
BasicPP0Epsilon.3.SS.25,Apple M4,unknown,10,16.0,False,,,Darwin,16,256,0.0003,0.005,0.14,0.95,7,linear,6353.33,79.2,78.41,8000,0.93,True
