ID,cpu_type,cpu_freqcpu_cores,ram_gb,has_nvidia,nvidia_gpu_name,nvidia_vram_gb,os,batch_size,buffer_size,learning_rate,beta,epsilon,lambd,num_epoch,learning_rate_schedule,ram_mb_used,ram_usage_percent,ram_avg_percent,benchmark_steps,benchmark_mean,benchmark_reached
BasicPPOEpsilon.2.AK.1,AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,16,256,0.0003,0.005,0.04,0.95,3,linear,10522.43,63.1,63.84,22000,0.93,True
BasicPPOEpsilon.2.AK.10,AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,16,256,0.0003,0.005,0.06,0.95,7,linear,9965.73,62.2,62.1,12000,0.93,True
BasicPPOEpsilon.2.AK.100,AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,128,256,0.0003,0.005,0.06,0.95,7,linear,9866.2,61.7,61.72,28000,0.93,True
BasicPPOEpsilon.2.AK.101,AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,128,256,0.0003,0.005,0.08,0.95,3,linear,10872.89,66.2,63.92,54000,0.93,True
BasicPPOEpsilon.2.AK.102,AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,128,256,0.0003,0.005,0.08,0.95,4,linear,10633.65,66.3,65.99,40000,0.93,True
BasicPPOEpsilon.2.AK.103,AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,128,256,0.0003,0.005,0.08,0.95,5,linear,10615.47,65.3,64.24,30000,0.93,True
BasicPPOEpsilon.2.AK.104,AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,128,256,0.0003,0.005,0.08,0.95,6,linear,9901.59,62.9,61.28,28000,0.93,True
BasicPPOEpsilon.2.AK.105,AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,128,256,0.0003,0.005,0.08,0.95,7,linear,11518.13,68.7,67.3,24000,0.93,True
BasicPPOEpsilon.2.AK.106,AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,128,256,0.0003,0.005,0.12,0.95,3,linear,11944.24,64.7,70.42,50000,0.93,True
BasicPPOEpsilon.2.AK.107,AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,128,256,0.0003,0.005,0.12,0.95,4,linear,10518.7,55.9,60.67,42000,0.93,True
BasicPPOEpsilon.2.AK.108,AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,128,256,0.0003,0.005,0.12,0.95,5,linear,10828.82,66.0,62.25,32000,0.93,True
BasicPPOEpsilon.2.AK.109,AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,128,256,0.0003,0.005,0.12,0.95,6,linear,10567.61,57.5,60.47,22000,0.93,True
BasicPPOEpsilon.2.AK.11,AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,16,256,0.0003,0.005,0.08,0.95,3,linear,9423.55,54.7,56.46,16000,0.93,True
BasicPPOEpsilon.2.AK.110,AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,128,256,0.0003,0.005,0.12,0.95,7,linear,9092.29,55.2,55.52,20000,0.93,True
BasicPPOEpsilon.2.AK.111,AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,128,256,0.0003,0.005,0.14,0.95,3,linear,9047.67,53.9,54.47,46000,0.93,True
BasicPPOEpsilon.2.AK.112,AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,128,256,0.0003,0.005,0.14,0.95,4,linear,9489.54,58.5,55.86,38000,0.93,True
BasicPPOEpsilon.2.AK.113,AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,128,256,0.0003,0.005,0.14,0.95,5,linear,11334.96,71.1,62.76,32000,0.93,True
BasicPPOEpsilon.2.AK.114,AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,128,256,0.0003,0.005,0.14,0.95,6,linear,12254.89,68.8,71.42,24000,0.93,True
BasicPPOEpsilon.2.AK.115,AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,128,256,0.0003,0.005,0.14,0.95,7,linear,10799.45,62.7,63.78,20000,0.93,True
BasicPPOEpsilon.2.AK.116,AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,128,256,0.0003,0.005,0.16,0.95,3,linear,10803.53,62.7,64.75,46000,0.93,True
BasicPPOEpsilon.2.AK.117,AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,128,256,0.0003,0.005,0.16,0.95,4,linear,10153.53,55.1,55.37,34000,0.93,True
BasicPPOEpsilon.2.AK.118,AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,128,256,0.0003,0.005,0.16,0.95,5,linear,10224.93,58.2,57.34,30000,0.93,True
BasicPPOEpsilon.2.AK.119,AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,128,256,0.0003,0.005,0.16,0.95,6,linear,9889.2,61.6,60.33,26000,0.93,True
BasicPPOEpsilon.2.AK.12,AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,16,256,0.0003,0.005,0.08,0.95,4,linear,9697.32,59.6,60.38,12000,0.93,True
BasicPPOEpsilon.2.AK.120,AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,128,256,0.0003,0.005,0.16,0.95,7,linear,10182.42,61.4,61.54,20000,0.93,True
BasicPPOEpsilon.2.AK.13,AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,16,256,0.0003,0.005,0.08,0.95,5,linear,9809.89,58.9,59.92,12000,0.93,True
BasicPPOEpsilon.2.AK.14,AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,16,256,0.0003,0.005,0.08,0.95,6,linear,10014.72,58.1,59.48,10000,0.93,True
BasicPPOEpsilon.2.AK.15,AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,16,256,0.0003,0.005,0.08,0.95,7,linear,9488.69,58.9,58.29,12000,0.93,True
BasicPPOEpsilon.2.AK.16,AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,16,256,0.0003,0.005,0.12,0.95,3,linear,10479.13,60.6,58.15,2000,0.648,False
BasicPPOEpsilon.2.AK.17,AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,16,256,0.0003,0.005,0.12,0.95,4,linear,10741.91,57.5,61.07,12000,0.93,True
BasicPPOEpsilon.2.AK.18,AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,16,256,0.0003,0.005,0.12,0.95,5,linear,10898.54,66.0,63.26,10000,0.93,True
BasicPPOEpsilon.2.AK.19,AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,16,256,0.0003,0.005,0.12,0.95,6,linear,11146.58,59.4,62.19,10000,0.93,True
BasicPPOEpsilon.2.AK.2,AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,16,256,0.0003,0.005,0.04,0.95,4,linear,9473.07,59.4,58.57,16000,0.93,True
BasicPPOEpsilon.2.AK.20,AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,16,256,0.0003,0.005,0.12,0.95,7,linear,9494.32,59.1,58.43,10000,0.93,True
BasicPPOEpsilon.2.AK.21,AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,16,256,0.0003,0.005,0.14,0.95,3,linear,9438.86,58.2,58.06,12000,0.93,True
BasicPPOEpsilon.2.AK.22,AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,16,256,0.0003,0.005,0.14,0.95,4,linear,9558.86,58.1,58.54,10000,0.93,True
BasicPPOEpsilon.2.AK.23,AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,16,256,0.0003,0.005,0.14,0.95,5,linear,9720.0,57.9,59.35,10000,0.93,True
BasicPPOEpsilon.2.AK.24,AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,16,256,0.0003,0.005,0.14,0.95,6,linear,10103.33,63.0,59.66,10000,0.93,True
BasicPPOEpsilon.2.AK.25,AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,16,256,0.0003,0.005,0.14,0.95,7,linear,10440.09,62.0,63.74,8000,0.93,True
BasicPPOEpsilon.2.AK.26,AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,16,256,0.0003,0.005,0.16,0.95,3,linear,10476.54,60.2,61.09,14000,0.93,True
BasicPPOEpsilon.2.AK.27,AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,16,256,0.0003,0.005,0.16,0.95,4,linear,11162.77,60.8,61.01,12000,0.93,True
BasicPPOEpsilon.2.AK.28,AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,16,256,0.0003,0.005,0.16,0.95,5,linear,12556.79,77.0,62.14,10000,0.93,True
