Timestamp,RAM_Usage_percent,RAM_Avg_percent,RAM_Used_MB
2026-01-20 16:17:38,81.8,81.8,5542.73
2026-01-20 16:17:43,81.1,81.45,5457.75
2026-01-20 16:17:48,82.5,81.8,5730.36
2026-01-20 16:17:53,80.6,81.5,5788.52
2026-01-20 16:17:58,81.2,81.44,5655.64
2026-01-20 16:18:03,80.6,81.3,5643.2
2026-01-20 16:18:08,81.7,81.36,5667.69
2026-01-20 16:18:13,81.2,81.34,5625.31
2026-01-20 16:18:18,81.6,81.37,5283.69
2026-01-20 16:18:23,79.5,81.18,5407.83
2026-01-20 16:18:28,79.6,81.04,5472.39
2026-01-20 16:18:33,80.7,81.01,5521.34
2026-01-20 16:18:38,81.5,81.05,5418.73
2026-01-20 16:18:43,81.8,81.1,5399.34
2026-01-20 16:18:48,81.1,81.1,5312.81
2026-01-20 16:18:53,81.1,81.1,5422.22
2026-01-20 16:18:58,81.8,81.14,5468.78
2026-01-20 16:19:03,81.8,81.18,5475.91
2026-01-20 16:19:08,82.7,81.26,5512.45
2026-01-20 16:19:13,82.2,81.3,5285.66
2026-01-20 16:19:18,81.5,81.31,5398.11
2026-01-20 16:19:23,81.3,81.31,5417.19
2026-01-20 16:19:28,82.2,81.35,5246.19
2026-01-20 16:19:34,83.5,81.44,5151.36
2026-01-20 16:19:39,83.2,81.51,5111.66
2026-01-20 16:19:44,82.8,81.56,5176.12
2026-01-20 16:19:49,82.6,81.6,5149.36
2026-01-20 16:19:54,82.7,81.64,5190.84
2026-01-20 16:19:59,82.9,81.68,5133.0
2026-01-20 16:20:04,82.2,81.7,5276.25
2026-01-20 16:20:09,82.0,81.71,5260.09
2026-01-20 16:20:14,82.1,81.72,5259.03
2026-01-20 16:20:19,81.9,81.73,5147.27
2026-01-20 16:20:24,82.2,81.74,5223.25
2026-01-20 16:20:29,82.2,81.75,5204.83
2026-01-20 16:20:34,82.6,81.78,5176.16
2026-01-20 16:20:39,82.6,81.8,5149.81
2026-01-20 16:20:44,82.7,81.82,5113.23
2026-01-20 16:20:49,82.4,81.84,5250.72
2026-01-20 16:20:54,82.1,81.84,5219.06
2026-01-20 16:20:59,83.5,81.89,5003.16
2026-01-20 16:21:04,82.3,81.9,5196.41
2026-01-20 16:21:09,82.0,81.9,5217.69
2026-01-20 16:21:14,81.5,81.89,5303.78
2026-01-20 16:21:19,81.5,81.88,5254.0
2026-01-20 16:21:24,81.4,81.87,5311.78
2026-01-20 16:21:29,81.1,81.85,5298.5
2026-01-20 16:21:34,81.3,81.84,5384.06
2026-01-20 16:21:39,81.2,81.83,5326.34
2026-01-20 16:21:44,81.6,81.82,5289.44
2026-01-20 16:21:49,82.3,81.83,5153.44
2026-01-20 16:21:54,82.1,81.84,5110.55
2026-01-20 16:21:59,81.7,81.84,5175.77
2026-01-20 16:22:04,82.4,81.85,5114.16
2026-01-20 16:22:09,82.1,81.85,5123.69
2026-01-20 16:22:14,82.3,81.86,5158.59
2026-01-20 16:22:19,82.1,81.86,5077.97
2026-01-20 16:22:24,81.8,81.86,5146.05
2026-01-20 16:22:29,81.7,81.86,5179.47
2026-01-20 16:22:34,81.8,81.86,5138.91
2026-01-20 16:22:39,81.2,81.85,5220.45
2026-01-20 16:22:44,81.3,81.84,5270.61
2026-01-20 16:22:49,81.1,81.83,5278.53
2026-01-20 16:22:54,81.4,81.82,5235.8
2026-01-20 16:22:59,82.1,81.82,5112.02
2026-01-20 16:23:04,81.7,81.82,5175.03
2026-01-20 16:23:09,81.4,81.82,5177.7
2026-01-20 16:23:14,81.1,81.81,5274.22
2026-01-20 16:23:19,81.1,81.8,5260.55
2026-01-20 16:23:24,80.8,81.78,5324.36
2026-01-20 16:23:29,80.9,81.77,5322.03
2026-01-20 16:23:34,80.9,81.76,5281.72
2026-01-20 16:23:39,81.2,81.75,5284.55
2026-01-20 16:23:44,81.1,81.74,5278.38
2026-01-20 16:23:49,81.5,81.74,5222.27
2026-01-20 16:23:54,81.6,81.74,5252.95
2026-01-20 16:23:59,81.3,81.73,5204.64
2026-01-20 16:24:04,81.7,81.73,5182.95
2026-01-20 16:24:09,81.6,81.73,5201.58
2026-01-20 16:24:14,81.5,81.73,5232.0
2026-01-20 16:24:19,81.3,81.72,5156.2
2026-01-20 16:24:24,81.5,81.72,5182.88
2026-01-20 16:24:29,81.4,81.71,5198.52
2026-01-20 16:24:34,81.6,81.71,5240.09
2026-01-20 16:24:39,81.6,81.71,5211.89
2026-01-20 16:24:44,81.6,81.71,5257.67
2026-01-20 16:24:49,81.9,81.71,5175.27
2026-01-20 16:24:54,82.6,81.72,5186.03
2026-01-20 16:24:59,82.8,81.73,5099.66
2026-01-20 16:25:04,82.3,81.74,5172.11
2026-01-20 16:25:09,83.0,81.75,5063.84
2026-01-20 16:25:14,82.5,81.76,5058.62
