Timestamp,RAM_Usage_percent,RAM_Avg_percent,RAM_Used_MB
2026-01-17 12:45:41,69.5,69.5,7566.03
2026-01-17 12:45:46,68.4,68.95,7525.89
2026-01-17 12:45:51,68.1,68.67,7515.64
2026-01-17 12:45:56,69.0,68.75,7614.97
2026-01-17 12:46:01,69.0,68.8,7608.41
2026-01-17 12:46:06,68.3,68.72,7489.83
2026-01-17 12:46:11,68.6,68.7,7526.72
2026-01-17 12:46:16,68.9,68.72,7590.28
2026-01-17 12:46:21,68.1,68.66,7476.09
2026-01-17 12:46:26,68.4,68.63,7573.94
2026-01-17 12:46:31,68.0,68.57,7593.81
2026-01-17 12:46:36,68.6,68.58,7690.02
2026-01-17 12:46:41,68.2,68.55,7609.31
2026-01-17 12:46:46,67.9,68.5,7566.42
2026-01-17 12:46:51,68.1,68.47,7597.25
2026-01-17 12:46:56,68.0,68.44,7595.44
2026-01-17 12:47:01,68.9,68.47,7648.36
2026-01-17 12:47:06,67.8,68.43,7474.48
2026-01-17 12:47:11,68.3,68.43,7567.0
2026-01-17 12:47:16,68.1,68.41,7536.44
2026-01-17 12:47:21,67.5,68.37,7448.59
2026-01-17 12:47:26,68.1,68.35,7549.86
2026-01-17 12:47:31,68.2,68.35,7598.61
2026-01-17 12:47:36,67.7,68.32,7613.67
2026-01-17 12:47:41,67.9,68.3,7614.67
2026-01-17 12:47:46,67.9,68.29,7606.98
2026-01-17 12:47:51,68.4,68.29,7682.75
2026-01-17 12:47:56,68.3,68.29,7661.05
2026-01-17 12:48:01,68.9,68.31,7649.94
2026-01-17 12:48:06,68.0,68.3,7504.39
2026-01-17 12:48:11,68.7,68.32,7631.03
2026-01-17 12:48:16,68.0,68.31,7523.78
2026-01-17 12:48:21,67.8,68.29,7479.94
2026-01-17 12:48:26,68.0,68.28,7526.5
2026-01-17 12:48:31,68.5,68.29,7672.14
2026-01-17 12:48:36,67.7,68.27,7535.86
2026-01-17 12:48:41,68.2,68.27,7608.27
2026-01-17 12:48:46,68.0,68.26,7590.16
2026-01-17 12:48:51,67.6,68.25,7518.17
2026-01-17 12:48:56,68.0,68.24,7593.81
2026-01-17 12:49:01,68.4,68.24,7736.69
2026-01-17 12:49:06,67.8,68.23,7633.45
2026-01-17 12:49:11,67.8,68.22,7637.78
2026-01-17 12:49:16,67.7,68.21,7621.52
2026-01-17 12:49:21,67.3,68.19,7566.08
2026-01-17 12:49:26,68.4,68.2,7735.11
2026-01-17 12:49:31,67.7,68.19,7638.11
2026-01-17 12:49:36,67.6,68.17,7600.11
2026-01-17 12:49:41,68.2,68.17,7678.06
2026-01-17 12:49:46,68.4,68.18,7691.39
2026-01-17 12:49:51,67.4,68.16,7542.64
2026-01-17 12:49:56,68.0,68.16,7628.59
2026-01-17 12:50:01,68.7,68.17,7689.19
2026-01-17 12:50:06,68.5,68.18,7657.31
2026-01-17 12:50:11,68.0,68.17,7586.95
2026-01-17 12:50:16,67.8,68.17,7552.22
2026-01-17 12:50:21,67.7,68.16,7573.83
2026-01-17 12:50:26,67.8,68.15,7589.34
2026-01-17 12:50:31,67.9,68.15,7610.39
2026-01-17 12:50:36,67.6,68.14,7578.55
2026-01-17 12:50:41,68.6,68.15,7734.27
2026-01-17 12:50:46,67.8,68.14,7610.56
2026-01-17 12:50:51,67.5,68.13,7559.56
2026-01-17 12:50:56,67.8,68.13,7616.53
2026-01-17 12:51:01,69.0,68.14,7802.67
2026-01-17 12:51:06,67.3,68.13,7515.66
2026-01-17 12:51:11,68.6,68.13,7739.17
2026-01-17 12:51:16,67.8,68.13,7605.41
2026-01-17 12:51:21,68.1,68.13,7657.05
2026-01-17 12:51:26,67.9,68.12,7628.83
2026-01-17 12:51:31,67.9,68.12,7621.81
2026-01-17 12:51:36,67.6,68.11,7574.95
2026-01-17 12:51:41,68.5,68.12,7713.19
2026-01-17 12:51:46,67.8,68.11,7598.52
2026-01-17 12:51:51,67.6,68.11,7572.69
2026-01-17 12:51:56,67.9,68.11,7611.52
2026-01-17 12:52:01,69.1,68.12,7808.23
2026-01-17 12:52:06,67.4,68.11,7535.09
2026-01-17 12:52:11,67.9,68.11,7608.48
2026-01-17 12:52:16,67.8,68.1,7579.5
2026-01-17 12:52:21,68.3,68.1,7679.94
2026-01-17 12:52:26,68.0,68.1,7594.0
2026-01-17 12:52:31,67.9,68.1,7613.72
2026-01-17 12:52:36,67.8,68.1,7574.7
2026-01-17 12:52:41,68.0,68.1,7609.72
2026-01-17 12:52:46,68.0,68.1,7603.09
2026-01-17 12:52:51,67.8,68.09,7569.47
2026-01-17 12:52:56,68.6,68.1,7712.38
2026-01-17 12:53:01,69.0,68.11,7655.97
2026-01-17 12:53:06,67.7,68.1,7443.66
2026-01-17 12:53:11,68.5,68.11,7596.34
2026-01-17 12:53:16,68.9,68.12,7683.7
2026-01-17 12:53:21,67.8,68.11,7500.77
2026-01-17 12:53:26,68.4,68.12,7583.92
2026-01-17 12:53:31,68.4,68.12,7536.48
2026-01-17 12:53:36,69.2,68.13,7627.84
2026-01-17 12:53:41,68.7,68.14,7540.69
2026-01-17 12:53:46,68.1,68.14,7586.97
2026-01-17 12:53:51,67.9,68.13,7572.44
2026-01-17 12:53:56,68.8,68.14,7741.69
2026-01-17 12:54:01,69.1,68.15,7667.83
2026-01-17 12:54:06,68.1,68.15,7510.73
2026-01-17 12:54:11,68.5,68.15,7564.23
2026-01-17 12:54:16,69.0,68.16,7657.03
2026-01-17 12:54:21,68.1,68.16,7495.3
2026-01-17 12:54:26,69.3,68.17,7658.27
2026-01-17 12:54:31,68.4,68.17,7570.78
2026-01-17 12:54:36,68.9,68.18,7659.47
2026-01-17 12:54:41,69.0,68.19,7657.25
2026-01-17 12:54:46,68.4,68.19,7571.98
2026-01-17 12:54:51,68.2,68.19,7640.28
2026-01-17 12:54:56,68.6,68.19,7724.66
2026-01-17 12:55:01,69.0,68.2,7664.34
2026-01-17 12:55:06,68.0,68.2,7489.75
2026-01-17 12:55:11,69.2,68.21,7674.17
2026-01-17 12:55:16,68.4,68.21,7550.03
2026-01-17 12:55:21,68.0,68.21,7502.12
2026-01-17 12:55:26,68.5,68.21,7567.86
2026-01-17 12:55:31,68.6,68.21,7714.92
2026-01-17 12:55:36,67.8,68.21,7578.84
2026-01-17 12:55:41,68.3,68.21,7598.31
2026-01-17 12:55:46,68.2,68.21,7587.3
2026-01-17 12:55:51,67.7,68.21,7517.22
2026-01-17 12:55:56,68.2,68.21,7613.95
2026-01-17 12:56:01,68.9,68.21,7691.44
2026-01-17 12:56:06,68.3,68.21,7604.7
2026-01-17 12:56:11,68.9,68.22,7698.83
2026-01-17 12:56:16,68.2,68.22,7586.67
2026-01-17 12:56:21,67.9,68.21,7533.86
2026-01-17 12:56:26,69.0,68.22,7701.36
2026-01-17 12:56:31,68.2,68.22,7592.83
2026-01-17 12:56:36,68.0,68.22,7557.31
2026-01-17 12:56:41,68.3,68.22,7607.81
2026-01-17 12:56:46,68.3,68.22,7609.09
2026-01-17 12:56:51,67.8,68.22,7517.42
2026-01-17 12:56:56,68.4,68.22,7619.38
2026-01-17 12:57:01,69.0,68.22,7647.33
2026-01-17 12:57:06,68.4,68.23,7548.58
2026-01-17 12:57:11,68.5,68.23,7592.78
2026-01-17 12:57:16,68.3,68.23,7555.55
2026-01-17 12:57:21,68.0,68.23,7505.12
2026-01-17 12:57:26,68.8,68.23,7560.33
2026-01-17 12:57:31,68.2,68.23,7571.11
2026-01-17 12:57:36,67.9,68.23,7534.66
2026-01-17 12:57:41,68.9,68.23,7699.3
2026-01-17 12:57:46,68.8,68.24,7679.88
2026-01-17 12:57:51,67.9,68.23,7527.39
2026-01-17 12:57:56,69.0,68.24,7701.77
2026-01-17 12:58:01,68.6,68.24,7726.27
2026-01-17 12:58:06,68.5,68.24,7717.83
2026-01-17 12:58:11,68.9,68.25,7688.33
2026-01-17 12:58:16,68.1,68.25,7559.27
2026-01-17 12:58:21,68.0,68.25,7554.33
2026-01-17 12:58:26,68.4,68.25,7585.84
2026-01-17 12:58:31,68.0,68.24,7619.73
2026-01-17 12:58:36,67.8,68.24,7515.67
2026-01-17 12:58:41,68.4,68.24,7636.02
2026-01-17 12:58:46,68.6,68.24,7694.38
2026-01-17 12:58:51,67.6,68.24,7528.16
2026-01-17 12:58:56,68.1,68.24,7628.78
2026-01-17 12:59:01,68.9,68.24,7669.7
2026-01-17 12:59:06,68.8,68.25,7656.06
2026-01-17 12:59:11,68.7,68.25,7714.48
2026-01-17 12:59:16,68.2,68.25,7578.73
2026-01-17 12:59:21,68.0,68.25,7559.59
2026-01-17 12:59:26,68.9,68.25,7725.92
2026-01-17 12:59:31,67.9,68.25,7645.58
2026-01-17 12:59:36,68.0,68.25,7587.22
2026-01-17 12:59:41,69.0,68.25,7700.7
2026-01-17 12:59:46,68.0,68.25,7580.05
2026-01-17 12:59:51,67.7,68.25,7538.25
2026-01-17 12:59:56,69.1,68.25,7791.73
2026-01-17 13:00:01,68.8,68.26,7751.62
2026-01-17 13:00:06,67.4,68.25,7524.64
2026-01-17 13:00:11,68.5,68.25,7578.75
2026-01-17 13:00:16,68.3,68.25,7546.25
2026-01-17 13:00:21,69.0,68.26,7660.08
2026-01-17 13:00:26,68.3,68.26,7595.92
2026-01-17 13:00:31,67.7,68.25,7619.06
2026-01-17 13:00:36,67.5,68.25,7601.95
2026-01-17 13:00:41,68.6,68.25,7743.77
2026-01-17 13:00:46,68.0,68.25,7627.78
2026-01-17 13:00:51,67.6,68.25,7575.58
2026-01-17 13:00:56,68.6,68.25,7764.02
2026-01-17 13:01:01,69.6,68.26,7723.84
2026-01-17 13:01:06,67.6,68.25,7403.94
2026-01-17 13:01:11,69.1,68.26,7671.88
2026-01-17 13:01:16,68.2,68.26,7562.36
2026-01-17 13:01:21,68.4,68.26,7594.19
2026-01-17 13:01:26,68.9,68.26,7715.17
2026-01-17 13:01:31,68.0,68.26,7581.48
2026-01-17 13:01:36,67.9,68.26,7567.86
2026-01-17 13:01:41,69.0,68.26,7712.8
2026-01-17 13:01:46,68.1,68.26,7580.17
2026-01-17 13:01:51,68.3,68.26,7701.23
2026-01-17 13:01:56,68.2,68.26,7627.2
2026-01-17 13:02:01,69.3,68.27,7770.7
2026-01-17 13:02:06,67.6,68.26,7498.2
2026-01-17 13:02:11,68.4,68.26,7617.48
2026-01-17 13:02:16,68.0,68.26,7597.89
2026-01-17 13:02:21,68.7,68.26,7703.52
2026-01-17 13:02:26,68.7,68.27,7744.61
