Timestamp,RAM_Usage_percent,RAM_Avg_percent,RAM_Used_MB
2026-01-19 02:54:29,77.4,77.4,6038.58
2026-01-19 02:54:34,76.7,77.05,6167.81
2026-01-19 02:54:39,76.6,76.9,6122.36
2026-01-19 02:54:44,76.5,76.8,6159.16
2026-01-19 02:54:49,76.5,76.74,6169.36
2026-01-19 02:54:54,76.4,76.68,6194.95
2026-01-19 02:54:59,76.2,76.61,6239.25
2026-01-19 02:55:04,76.6,76.61,6183.45
2026-01-19 02:55:09,76.5,76.6,6200.53
2026-01-19 02:55:14,76.5,76.59,6208.83
2026-01-19 02:55:19,77.6,76.68,6285.62
2026-01-19 02:55:24,76.7,76.68,6250.09
2026-01-19 02:55:29,76.7,76.68,6360.91
2026-01-19 02:55:34,76.4,76.66,6437.66
2026-01-19 02:55:39,75.7,76.6,6320.53
2026-01-19 02:55:44,75.7,76.54,6273.22
2026-01-19 02:55:49,76.5,76.54,6427.84
2026-01-19 02:55:54,75.5,76.48,6283.81
2026-01-19 02:55:59,75.5,76.43,6293.56
2026-01-19 02:56:04,76.8,76.45,6324.12
2026-01-19 02:56:09,75.7,76.41,6174.8
2026-01-19 02:56:14,76.0,76.4,6262.39
2026-01-19 02:56:19,76.8,76.41,6378.56
2026-01-19 02:56:24,75.9,76.39,6309.36
2026-01-19 02:56:29,76.0,76.38,6285.19
2026-01-19 02:56:34,76.7,76.39,6391.02
2026-01-19 02:56:39,76.4,76.39,6345.84
2026-01-19 02:56:44,76.5,76.39,6367.94
2026-01-19 02:56:49,76.7,76.4,6396.16
2026-01-19 02:56:54,75.7,76.38,6238.92
2026-01-19 02:56:59,75.7,76.36,6326.91
2026-01-19 02:57:04,76.8,76.37,6391.09
2026-01-19 02:57:09,75.9,76.36,6271.39
2026-01-19 02:57:14,75.8,76.34,6272.22
2026-01-19 02:57:19,76.7,76.35,6388.48
2026-01-19 02:57:24,75.6,76.33,6338.19
2026-01-19 02:57:29,75.5,76.31,6315.14
2026-01-19 02:57:34,76.5,76.31,6434.61
2026-01-19 02:57:39,75.7,76.3,6333.23
2026-01-19 02:57:44,75.6,76.28,6346.73
2026-01-19 02:57:49,76.3,76.28,6461.56
2026-01-19 02:57:54,76.0,76.27,6427.06
2026-01-19 02:57:59,76.0,76.27,6443.28
2026-01-19 02:58:04,76.8,76.28,6372.84
2026-01-19 02:58:09,75.7,76.27,6215.22
2026-01-19 02:58:14,75.5,76.25,6246.64
2026-01-19 02:58:19,75.7,76.24,6311.53
2026-01-19 02:58:24,75.9,76.23,6279.23
2026-01-19 02:58:29,75.8,76.22,6236.62
2026-01-19 02:58:34,76.7,76.23,6396.16
2026-01-19 02:58:39,75.9,76.23,6257.81
2026-01-19 02:58:44,75.7,76.22,6277.72
2026-01-19 02:58:49,76.5,76.22,6420.22
2026-01-19 02:58:54,75.7,76.21,6288.38
2026-01-19 02:58:59,75.8,76.2,6288.2
2026-01-19 02:59:04,76.7,76.21,6342.48
2026-01-19 02:59:09,76.3,76.21,6271.5
2026-01-19 02:59:14,76.2,76.21,6276.42
2026-01-19 02:59:19,76.5,76.22,6382.08
2026-01-19 02:59:24,76.4,76.22,6387.06
2026-01-19 02:59:29,75.7,76.21,6245.47
2026-01-19 02:59:34,76.6,76.22,6391.98
2026-01-19 02:59:39,75.9,76.21,6222.31
2026-01-19 02:59:44,75.8,76.21,6214.69
2026-01-19 02:59:49,76.8,76.22,6387.81
2026-01-19 02:59:54,75.9,76.21,6238.38
2026-01-19 02:59:59,75.9,76.21,6230.8
2026-01-19 03:00:04,77.3,76.22,6267.58
2026-01-19 03:00:09,76.4,76.23,6138.44
2026-01-19 03:00:14,76.2,76.23,6126.5
2026-01-19 03:00:19,77.1,76.24,6343.83
2026-01-19 03:00:24,76.1,76.24,6279.78
2026-01-19 03:00:29,76.6,76.24,6357.81
2026-01-19 03:00:34,76.7,76.25,6393.05
2026-01-19 03:00:39,76.3,76.25,6243.73
2026-01-19 03:00:44,76.3,76.25,6247.17
2026-01-19 03:00:49,76.1,76.25,6487.78
2026-01-19 03:00:54,75.2,76.23,6351.36
2026-01-19 03:00:59,75.3,76.22,6321.38
2026-01-19 03:01:04,76.9,76.23,6369.38
2026-01-19 03:01:09,76.0,76.23,6257.56
2026-01-19 03:01:14,75.8,76.22,6257.36
2026-01-19 03:01:19,76.8,76.23,6396.56
2026-01-19 03:01:24,75.7,76.22,6332.05
2026-01-19 03:01:29,75.7,76.22,6285.08
2026-01-19 03:01:34,76.6,76.22,6415.3
2026-01-19 03:01:39,75.8,76.22,6299.75
2026-01-19 03:01:44,76.4,76.22,6379.45
2026-01-19 03:01:49,76.6,76.22,6421.58
2026-01-19 03:01:54,76.4,76.22,6383.2
2026-01-19 03:01:59,76.4,76.23,6376.8
2026-01-19 03:02:04,77.1,76.24,6319.2
2026-01-19 03:02:09,75.8,76.23,6130.2
2026-01-19 03:02:14,75.9,76.23,6151.48
2026-01-19 03:02:19,76.9,76.23,6358.27
