Timestamp,RAM_Usage_percent,RAM_Avg_percent,RAM_Used_MB
2026-01-16 15:07:55,78.4,78.4,5688.36
2026-01-16 15:08:00,78.5,78.45,5726.94
2026-01-16 15:08:05,77.5,78.13,5955.56
2026-01-16 15:08:10,77.4,77.95,5978.06
2026-01-16 15:08:15,76.2,77.6,5857.05
2026-01-16 15:08:20,76.2,77.37,5906.02
2026-01-16 15:08:25,76.1,77.19,5880.39
2026-01-16 15:08:30,76.1,77.05,5889.19
2026-01-16 15:08:35,76.0,76.93,5933.05
2026-01-16 15:08:40,77.0,76.94,5866.5
2026-01-16 15:08:45,76.6,76.91,5787.0
2026-01-16 15:08:50,76.7,76.89,5819.98
2026-01-16 15:08:55,76.8,76.88,5818.17
2026-01-16 15:09:00,76.6,76.86,5805.14
2026-01-16 15:09:05,76.7,76.85,5784.52
2026-01-16 15:09:10,76.8,76.85,5813.42
2026-01-16 15:09:15,76.5,76.83,5953.02
2026-01-16 15:09:20,76.9,76.83,6055.3
2026-01-16 15:09:25,76.9,76.84,6036.44
2026-01-16 15:09:30,76.8,76.84,6059.88
2026-01-16 15:09:35,76.7,76.83,6062.31
2026-01-16 15:09:40,76.6,76.82,6097.8
2026-01-16 15:09:45,75.8,76.77,5919.3
2026-01-16 15:09:50,75.7,76.73,5968.22
2026-01-16 15:09:55,75.4,76.68,5836.98
2026-01-16 15:10:00,75.4,76.63,5912.42
2026-01-16 15:10:05,75.8,76.6,5838.34
2026-01-16 15:10:10,75.6,76.56,5831.42
2026-01-16 15:10:15,75.5,76.52,5885.0
2026-01-16 15:10:20,75.5,76.49,5912.69
2026-01-16 15:10:25,75.8,76.47,5898.98
2026-01-16 15:10:30,75.9,76.45,5873.97
2026-01-16 15:10:35,76.1,76.44,5860.52
2026-01-16 15:10:40,76.1,76.43,5858.78
2026-01-16 15:10:45,76.3,76.43,5885.69
2026-01-16 15:10:50,76.3,76.42,5892.55
2026-01-16 15:10:55,76.9,76.44,5970.33
2026-01-16 15:11:00,76.9,76.45,5968.64
2026-01-16 15:11:05,77.0,76.46,5960.62
2026-01-16 15:11:10,75.8,76.45,5763.66
2026-01-16 15:11:15,75.9,76.43,5791.11
2026-01-16 15:11:20,75.9,76.42,5797.92
2026-01-16 15:11:25,75.9,76.41,5801.48
2026-01-16 15:11:30,75.9,76.4,5819.08
2026-01-16 15:11:35,75.8,76.38,5800.48
2026-01-16 15:11:40,76.0,76.37,5832.38
2026-01-16 15:11:45,75.7,76.36,5906.84
2026-01-16 15:11:50,76.0,76.35,5878.05
2026-01-16 15:11:55,76.1,76.35,5909.58
2026-01-16 15:12:00,76.4,76.35,5865.36
2026-01-16 15:12:05,76.3,76.35,5758.38
2026-01-16 15:12:10,76.5,76.35,5807.48
2026-01-16 15:12:15,76.5,76.35,5852.97
2026-01-16 15:12:20,77.1,76.37,5950.62
2026-01-16 15:12:25,77.1,76.38,5945.56
2026-01-16 15:12:30,76.9,76.39,5991.67
2026-01-16 15:12:35,76.8,76.4,5984.89
2026-01-16 15:12:40,76.5,76.4,5936.05
2026-01-16 15:12:45,75.8,76.39,5843.94
2026-01-16 15:12:50,75.9,76.38,5876.61
2026-01-16 15:12:55,75.9,76.37,5816.14
2026-01-16 15:13:00,75.3,76.35,5954.17
2026-01-16 15:13:05,75.6,76.34,5827.59
2026-01-16 15:13:10,75.7,76.33,5849.53
2026-01-16 15:13:15,75.6,76.32,5872.0
2026-01-16 15:13:20,75.8,76.31,5909.12
