Timestamp,RAM_Usage_percent,RAM_Avg_percent,RAM_Used_MB
2026-01-15 09:43:15,59.7,59.7,9558.76
2026-01-15 09:43:20,60.3,60.0,9652.08
2026-01-15 09:43:25,60.9,60.3,9750.0
2026-01-15 09:43:30,65.8,61.67,10535.55
2026-01-15 09:43:35,66.2,62.58,10587.25
2026-01-15 09:43:40,66.0,63.15,10568.88
2026-01-15 09:43:45,65.9,63.54,10554.13
2026-01-15 09:43:50,65.9,63.84,10548.56
2026-01-15 09:43:55,65.8,64.06,10533.26
2026-01-15 09:44:00,65.7,64.22,10518.98
2026-01-15 09:44:05,65.7,64.35,10515.14
2026-01-15 09:44:10,65.7,64.47,10506.53
2026-01-15 09:44:15,65.2,64.52,10428.6
2026-01-15 09:44:20,65.3,64.58,10455.45
2026-01-15 09:44:25,64.8,64.59,10373.28
2026-01-15 09:44:30,64.2,64.57,10272.8
2026-01-15 09:44:35,64.0,64.54,10249.01
2026-01-15 09:44:40,63.7,64.49,10188.11
2026-01-15 09:44:45,63.6,64.44,10182.73
2026-01-15 09:44:50,63.7,64.41,10195.29
2026-01-15 09:44:55,63.4,64.36,10145.14
2026-01-15 09:45:00,63.5,64.32,10158.75
