Timestamp,RAM_Usage_percent,RAM_Avg_percent,RAM_Used_MB
2026-01-15 03:28:39,73.9,73.9,11831.45
2026-01-15 03:28:44,75.0,74.45,12006.38
2026-01-15 03:28:49,75.2,74.7,12040.94
2026-01-15 03:28:54,75.2,74.83,12037.33
2026-01-15 03:28:59,75.1,74.88,12025.36
2026-01-15 03:29:04,75.2,74.93,12027.8
2026-01-15 03:29:09,75.2,74.97,12030.39
2026-01-15 03:29:14,75.1,74.99,12025.12
2026-01-15 03:29:19,75.1,75.0,12023.99
2026-01-15 03:29:24,75.1,75.01,12014.54
2026-01-15 03:29:29,75.0,75.01,12008.13
2026-01-15 03:29:34,75.1,75.02,12024.92
2026-01-15 03:29:39,75.1,75.02,12015.05
2026-01-15 03:29:44,74.9,75.01,11992.26
2026-01-15 03:29:49,74.9,75.01,11987.39
2026-01-15 03:29:54,75.0,75.01,12004.34
2026-01-15 03:29:59,75.0,75.01,12006.21
2026-01-15 03:30:04,75.1,75.01,12019.42
2026-01-15 03:30:09,75.1,75.02,12024.09
2026-01-15 03:30:14,75.2,75.03,12030.22
2026-01-15 03:30:19,75.0,75.02,12008.18
2026-01-15 03:30:24,75.0,75.02,11996.4
2026-01-15 03:30:29,74.8,75.01,11977.05
2026-01-15 03:30:34,74.8,75.0,11976.44
