Timestamp,CPU_Usage_percent,CPU_Avg_percent,RAM_Usage_percent,RAM_Avg_percent,RAM_Used_MB,Disk_Read_MBps,Disk_Write_MBps,Disk_Read_Avg_MBps,Disk_Write_Avg_MBps,Net_Sent_KBps,Net_Recv_KBps,Net_Sent_Avg_KBps,Net_Recv_Avg_KBps
2025-12-03 09:31:36,53.9,53.9,80.2,80.2,6247.31,22.84,40.08,22.84,40.08,44.18,33.39,44.18,33.39
2025-12-03 09:31:41,33.6,43.75,80.2,80.2,6214.58,119.45,30.62,71.15,35.35,111.46,97.28,77.82,65.33
2025-12-03 09:31:46,27.9,38.47,81.5,80.63,6029.16,188.74,30.88,110.35,33.86,8.19,8.79,54.61,46.48
2025-12-03 09:31:51,47.9,40.83,82.6,81.12,5819.5,93.69,31.79,106.18,33.34,43.35,12.78,51.8,38.06
2025-12-03 09:31:56,45.1,41.68,81.5,81.2,5681.23,15.2,50.8,87.99,36.83,157.64,99.3,72.96,50.31
2025-12-03 09:32:01,57.9,44.38,81.9,81.32,5606.8,34.97,64.01,79.15,41.36,228.11,98.28,98.82,58.3
2025-12-03 09:32:06,71.4,48.24,82.7,81.51,5844.56,56.91,44.18,75.97,41.77,366.62,161.72,137.08,73.08
2025-12-03 09:32:12,53.3,48.88,81.7,81.54,5958.14,26.83,61.31,69.83,44.21,491.28,70.33,181.35,72.73
2025-12-03 09:32:17,60.3,50.14,81.4,81.52,5810.8,49.88,55.06,67.61,45.41,463.17,114.64,212.67,77.39
2025-12-03 09:32:22,52.4,50.37,80.4,81.41,5900.53,23.96,44.86,63.25,45.36,667.87,65.15,258.19,76.17
2025-12-03 09:32:27,53.5,50.65,80.2,81.3,5993.2,23.13,52.09,59.6,45.97,980.8,85.13,323.88,76.98
2025-12-03 09:32:32,41.4,49.88,79.9,81.18,6084.73,9.71,42.4,55.44,45.67,138.28,66.74,308.41,76.13
2025-12-03 09:32:37,43.7,49.41,79.6,81.06,6078.44,9.96,52.17,51.94,46.17,48.96,23.58,288.46,72.09
2025-12-03 09:32:42,43.2,48.96,79.5,80.95,6152.44,13.69,42.45,49.21,45.91,158.84,70.73,279.2,71.99
2025-12-03 09:32:47,44.5,48.67,79.3,80.84,6153.06,6.66,38.38,46.38,45.41,288.61,48.13,279.83,70.4
2025-12-03 09:32:52,38.9,48.06,79.3,80.74,6180.84,15.18,30.87,44.43,44.5,30.97,29.57,264.27,67.85
2025-12-03 09:32:57,36.9,47.4,79.1,80.65,6158.25,5.91,41.56,42.16,44.33,176.65,77.74,259.12,68.43
2025-12-03 09:33:02,26.3,46.23,79.3,80.57,6151.25,4.95,29.03,40.09,43.48,965.41,43.77,298.36,67.06
2025-12-03 09:33:07,29.1,45.33,79.3,80.51,6151.67,30.99,36.03,39.61,43.08,90.5,48.95,287.42,66.11
2025-12-03 09:33:12,30.7,44.6,78.7,80.41,6288.38,8.89,56.62,38.08,43.76,158.05,86.32,280.95,67.12
2025-12-03 09:33:17,29.9,43.9,78.5,80.32,6250.56,6.27,48.99,36.56,44.01,109.87,66.52,272.8,67.09
2025-12-03 09:33:22,30.6,43.29,78.2,80.23,6198.86,12.84,51.36,35.48,44.34,58.96,56.17,263.08,66.59
2025-12-03 09:33:27,34.9,42.93,81.9,80.3,6227.97,18.23,58.12,34.73,44.94,102.53,62.16,256.1,66.4
2025-12-03 09:33:32,38.2,42.73,80.6,80.31,6075.45,25.07,36.95,34.33,44.61,24.98,54.76,246.47,65.91
2025-12-03 09:33:37,34.4,42.4,79.2,80.27,5910.61,10.87,50.71,33.39,44.85,195.04,42.77,244.41,64.99
2025-12-03 09:33:42,31.8,41.99,79.6,80.24,6053.48,11.26,59.83,32.54,45.43,200.75,65.72,242.73,65.02
2025-12-03 09:33:47,27.4,41.45,78.9,80.19,6000.16,5.62,62.36,31.54,46.06,118.27,40.95,238.12,64.12
2025-12-03 09:33:52,31.2,41.08,78.2,80.12,5903.25,5.63,32.88,30.62,45.59,71.57,47.78,232.18,63.54
2025-12-03 09:33:57,30.8,40.73,79.9,80.11,6196.17,9.11,42.27,29.88,45.47,169.57,83.89,230.02,64.24
2025-12-03 09:34:02,41.7,40.76,83.7,80.23,6340.03,22.29,105.17,29.62,47.46,56.75,25.18,224.24,62.94
2025-12-03 09:34:07,33.3,40.52,80.6,80.25,5986.48,10.67,46.92,29.01,47.44,55.72,65.9,218.81,63.04
2025-12-03 09:34:12,24.4,40.02,79.5,80.22,6211.06,4.59,54.78,28.25,47.67,32.76,66.92,212.99,63.16
2025-12-03 09:34:17,30.6,39.73,78.8,80.18,6075.89,10.95,41.05,27.73,47.47,98.3,29.57,209.52,62.14
2025-12-03 09:34:22,28.7,39.41,79.4,80.16,6216.69,5.2,52.97,27.06,47.63,217.55,68.72,209.75,62.33
2025-12-03 09:34:27,27.5,39.07,79.3,80.13,6231.55,13.24,50.09,26.67,47.7,48.93,58.12,205.16,62.21
2025-12-03 09:34:32,36.6,39.0,79.0,80.1,6285.05,13.5,62.65,26.3,48.12,95.89,39.35,202.12,61.58
2025-12-03 09:34:37,44.2,39.14,77.6,80.03,6518.78,23.2,46.29,26.22,48.07,112.89,46.95,199.71,61.18
2025-12-03 09:34:42,43.7,39.26,81.5,80.07,6625.44,23.58,34.44,26.15,47.71,73.75,52.56,196.4,60.96
2025-12-03 09:34:47,46.8,39.45,78.5,80.03,6187.25,24.37,61.61,26.1,48.07,185.38,71.12,196.11,61.22
2025-12-03 09:34:52,37.9,39.41,78.1,79.98,6138.14,11.46,41.63,25.74,47.91,80.5,76.51,193.22,61.6
