,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
const,-1.4779288903810084e-12,8.110598299395586e-11,-0.018222193182605848,0.9854729897451482,-1.6104814218029278e-10,1.5809228439953076e-10
step,5.421010862427522e-20,4.07271029721202e-18,0.013310573222304771,0.9893883333065051,-7.958555741739344e-18,8.066975958987895e-18
time_elapsed,1.4176366921721598e-17,1.1611916575743573e-17,1.220846432132915,0.22304577025842987,-8.669247375735913e-18,3.702198121917911e-17
episode_length,-5.204170427930421e-18,2.676776534931744e-16,-0.01944193084486645,0.9845007153228946,-5.318407844497591e-16,5.214324435938983e-16
extrinsic_reward,0.4999999999999966,3.016090172739831e-14,16577753693146.188,0.0,0.4999999999999373,0.500000000000056
value_estimate,1.4988010832439613e-15,5.997595246266294e-14,0.024990033866940514,0.9800785379777668,-1.16499590323293e-13,1.194971924897809e-13
entropy,-3.469446951953614e-15,6.396341430915979e-14,-0.054241115635016636,0.9567770167822832,-1.2931288398697773e-13,1.223739900830705e-13
policy_loss,1.1368683772161603e-13,2.184111630924587e-12,0.052051752351819885,0.9585200360493744,-4.183396385122567e-12,4.410770060565799e-12
value_loss,-1.0658141036401503e-14,1.3525427813343985e-12,-0.007880076832679807,0.9937175990639509,-2.671689203533284e-12,2.650372921460481e-12
learning_rate,1.3301360013429075e-11,4.1106760899286085e-12,3.2358083493900596,0.001340288748315716,5.213899184743598e-12,2.138882084211455e-11
epsilon,5.002220859751105e-12,4.0298162724318704e-10,0.012413024618445989,0.9901038530676916,-7.878352719785157e-10,7.978397136980179e-10
beta,4.155253918725066e-11,4.106496963998433e-11,1.0118731257210425,0.31236559454835716,-3.923984778972946e-11,1.223449261642308e-10
reward_rolling_mean,1.815214645262131e-14,9.169041755899684e-14,0.1979721211427746,0.8431929726835655,-1.6224218385986037e-13,1.98546476765103e-13
reward_rolling_std,-9.880984919163893e-15,1.0658780801133594e-13,-0.09270276876425698,0.9261978889434798,-2.1958486409834257e-13,1.9982289426001479e-13
episode_length_rolling_mean,6.158268339717665e-17,4.066544830645458e-16,0.15143736504043903,0.8797264392763351,-7.384808902450302e-16,8.616462570393835e-16
