,cpu_freqcpu_cores,ram_gb,has_nvidia,batch_size,buffer_size,learning_rate,beta,epsilon,lambd,num_epoch,ram_mb_used,ram_usage_percent,ram_avg_percent,benchmark_steps,benchmark_mean
cpu_freqcpu_cores,1.0,0.9741148708424143,0.9671943291064421,-0.06497844894994739,,,-0.16158132536194145,-0.018263889456811587,,0.005002529610981147,0.9134173893819689,-0.6800073717244938,-0.6871268386859681,-0.17132309513788113,-0.05735319425303318
ram_gb,0.9741148708424143,1.0,0.9126919545709444,-0.04973805543895513,,,-0.11790314899239321,-0.09048862565139358,,0.005747427699469081,0.8551226250367809,-0.6210638041357519,-0.6281528641106835,-0.12689084808960593,-0.06424704795244916
has_nvidia,0.9671943291064421,0.9126919545709444,1.0,-0.05979896250600276,,,-0.14501579231858358,0.038299561426930466,,0.0058269643137242215,0.8527103461572847,-0.5848978103731287,-0.5878008752788477,-0.15597049944232985,-0.049826503854589844
batch_size,-0.06497844894994739,-0.04973805543895513,-0.05979896250600276,1.0,,,0.2889800299023871,0.03789745599232596,,0.01694313750851032,-0.05354849717362684,0.03429633399254409,0.04240699711914406,0.4275995861699653,0.03364088028516922
buffer_size,,,,,,,,,,,,,,,
learning_rate,,,,,,,,,,,,,,,
beta,-0.16158132536194145,-0.11790314899239321,-0.14501579231858358,0.2889800299023871,,,1.0,0.00016878941446407192,,0.01577001611138076,-0.1833955835636094,0.10483783423934998,0.10604615806425907,0.978955802180474,0.025310497810545528
epsilon,-0.018263889456811587,-0.09048862565139358,0.038299561426930466,0.03789745599232596,,,0.00016878941446407192,1.0,,-0.005248556814744974,-0.012450741813057458,-0.04568549363305052,-0.0580005888355918,-0.013996640191320877,0.042017558040682274
lambd,,,,,,,,,,,,,,,
num_epoch,0.005002529610981147,0.005747427699469081,0.0058269643137242215,0.01694313750851032,,,0.01577001611138076,-0.005248556814744974,,1.0,-0.004247534435746184,0.00892388129829769,0.0067266735030919785,-0.05469272224584829,-0.013237485106015256
ram_mb_used,0.9134173893819689,0.8551226250367809,0.8527103461572847,-0.05354849717362684,,,-0.1833955835636094,-0.012450741813057458,,-0.004247534435746184,1.0,-0.631913507788737,-0.6424624007746721,-0.19128537456208672,-0.07791548233942047
ram_usage_percent,-0.6800073717244938,-0.6210638041357519,-0.5848978103731287,0.03429633399254409,,,0.10483783423934998,-0.04568549363305052,,0.00892388129829769,-0.631913507788737,1.0,0.9763154219870726,0.10759872972692104,-0.003207096375012387
ram_avg_percent,-0.6871268386859681,-0.6281528641106835,-0.5878008752788477,0.04240699711914406,,,0.10604615806425907,-0.0580005888355918,,0.0067266735030919785,-0.6424624007746721,0.9763154219870726,1.0,0.10828491672975074,-0.007812886305715305
benchmark_steps,-0.17132309513788113,-0.12689084808960593,-0.15597049944232985,0.4275995861699653,,,0.978955802180474,-0.013996640191320877,,-0.05469272224584829,-0.19128537456208672,0.10759872972692104,0.10828491672975074,1.0,0.07783946929608308
benchmark_mean,-0.05735319425303318,-0.06424704795244916,-0.049826503854589844,0.03364088028516922,,,0.025310497810545528,0.042017558040682274,,-0.013237485106015256,-0.07791548233942047,-0.003207096375012387,-0.007812886305715305,0.07783946929608308,1.0
