Feature,Correlation,Abs_Correlation
cpu_freqcpu_cores,0.9134173893819689,0.9134173893819689
ram_gb,0.8551226250367809,0.8551226250367809
has_nvidia,0.8527103461572847,0.8527103461572847
ram_avg_percent,-0.6424624007746721,0.6424624007746721
ram_usage_percent,-0.631913507788737,0.631913507788737
benchmark_steps,-0.19128537456208672,0.19128537456208672
beta,-0.1833955835636094,0.1833955835636094
benchmark_mean,-0.07791548233942047,0.07791548233942047
batch_size,-0.05354849717362684,0.05354849717362684
epsilon,-0.012450741813057458,0.012450741813057458
num_epoch,-0.004247534435746184,0.004247534435746184
buffer_size,,
learning_rate,,
lambd,,
