,cpu_type,cpu_freqcpu_cores,ram_gb,has_nvidia,nvidia_vram_gb,batch_size,buffer_size,learning_rate,beta,epsilon,lambd,num_epoch,ram_mb_used,ram_usage_percent,ram_avg_percent,benchmark_steps,benchmark_mean
cpu_type,,,,,,,,,,,,,,,,,
cpu_freqcpu_cores,,,,,,,,,,,,,,,,,
ram_gb,,,,,,,,,,,,,,,,,
has_nvidia,,,,,,,,,,,,,,,,,
nvidia_vram_gb,,,,,,,,,,,,,,,,,
batch_size,,,,,,1.0,,,,0.1436839504366013,,0.05458290703897298,-0.015180957789451971,-0.04820573502273705,-0.017396217984351224,0.732435525359677,0.06901377731899148
buffer_size,,,,,,,,,,,,,,,,,
learning_rate,,,,,,,,,,,,,,,,,
beta,,,,,,,,,,,,,,,,,
epsilon,,,,,,0.1436839504366013,,,,1.0,,-0.002941301039900994,0.04404804082791877,0.14401901264941333,0.10937413258759912,0.052913194882528804,-0.09281410239897529
lambd,,,,,,,,,,,,,,,,,
num_epoch,,,,,,0.05458290703897298,,,,-0.002941301039900994,,1.0,-0.05113337860851187,0.01687826479812876,-0.01740638705866079,-0.3698291848538146,-0.1241491643932151
ram_mb_used,,,,,,-0.015180957789451971,,,,0.04404804082791877,,-0.05113337860851187,1.0,0.8311473401605451,0.890229923685619,-0.05368161386674204,-0.13453366538963776
ram_usage_percent,,,,,,-0.04820573502273705,,,,0.14401901264941333,,0.01687826479812876,0.8311473401605451,1.0,0.8764925707805887,-0.05893910384274977,-0.13984804303597442
ram_avg_percent,,,,,,-0.017396217984351224,,,,0.10937413258759912,,-0.01740638705866079,0.890229923685619,0.8764925707805887,1.0,-0.0740118814189289,-0.15279178549000397
benchmark_steps,,,,,,0.732435525359677,,,,0.052913194882528804,,-0.3698291848538146,-0.05368161386674204,-0.05893910384274977,-0.0740118814189289,1.0,0.24562710245398922
benchmark_mean,,,,,,0.06901377731899148,,,,-0.09281410239897529,,-0.1241491643932151,-0.13453366538963776,-0.13984804303597442,-0.15279178549000397,0.24562710245398922,1.0
