,cpu_freqcpu_cores,ram_gb,has_nvidia,batch_size,buffer_size,learning_rate,beta,epsilon,lambd,num_epoch,ram_mb_used,ram_usage_percent,ram_avg_percent,benchmark_steps,benchmark_mean
cpu_freqcpu_cores,1.0,-0.2111094113642394,0.9063407154205301,-0.06582155820323674,,,-0.1597254079528427,0.36837865972239114,,-0.0010211245249455918,0.6515973356698588,-0.2889099350566311,-0.28599678171442483,-0.16642628031540674,0.03013430011384314
ram_gb,-0.2111094113642394,1.0,0.221687390587059,0.08555491543503414,,,0.22737398524340302,-0.1027865219920134,,0.008963357897264183,-0.7540015950386066,0.7347512856143744,0.7645052798240259,0.22517790062856247,-0.013799301416628097
has_nvidia,0.9063407154205301,0.221687390587059,1.0,-0.028679101746001526,,,-0.061050679303218135,0.3230613981561197,,0.00285609853203514,0.32408668256920414,0.029409011877420402,0.04517754381384388,-0.06868482453679395,0.024096710969818524
batch_size,-0.06582155820323674,0.08555491543503414,-0.028679101746001526,1.0,,,0.32671937673377527,0.044496746807806214,,0.02325781863710063,-0.07204142725403852,-0.046047901413588624,-0.03273173261356532,0.4484136223381916,0.008937305842044668
buffer_size,,,,,,,,,,,,,,,
learning_rate,,,,,,,,,,,,,,,
beta,-0.1597254079528427,0.22737398524340302,-0.061050679303218135,0.32671937673377527,,,1.0,-0.013002719875198557,,0.019511980976215974,-0.1634060181282481,0.027471194097780614,0.027929972442794142,0.9838366433191188,0.021300462537398722
epsilon,0.36837865972239114,-0.1027865219920134,0.3230613981561197,0.044496746807806214,,,-0.013002719875198557,1.0,,-0.006558382110985703,0.23852272683169518,-0.11375185661538621,-0.13560533899787414,-0.021529148234115843,0.051428417181791246
lambd,,,,,,,,,,,,,,,
num_epoch,-0.0010211245249455918,0.008963357897264183,0.00285609853203514,0.02325781863710063,,,0.019511980976215974,-0.006558382110985703,,1.0,-0.026680739579615816,0.020355640486796004,0.013041367919682667,-0.04380746723259742,-0.06343548429607203
ram_mb_used,0.6515973356698588,-0.7540015950386066,0.32408668256920414,-0.07204142725403852,,,-0.1634060181282481,0.23852272683169518,,-0.026680739579615816,1.0,-0.4605380958638256,-0.4749279274084011,-0.16961983257077398,-0.021295515019858352
ram_usage_percent,-0.2889099350566311,0.7347512856143744,0.029409011877420402,-0.046047901413588624,,,0.027471194097780614,-0.11375185661538621,,0.020355640486796004,-0.4605380958638256,1.0,0.9515637301366784,0.01921919116502237,-0.044664464074927135
ram_avg_percent,-0.28599678171442483,0.7645052798240259,0.04517754381384388,-0.03273173261356532,,,0.027929972442794142,-0.13560533899787414,,0.013041367919682667,-0.4749279274084011,0.9515637301366784,1.0,0.01917161045137789,-0.05713506820677471
benchmark_steps,-0.16642628031540674,0.22517790062856247,-0.06868482453679395,0.4484136223381916,,,0.9838366433191188,-0.021529148234115843,,-0.04380746723259742,-0.16961983257077398,0.01921919116502237,0.01917161045137789,1.0,0.057084652614950916
benchmark_mean,0.03013430011384314,-0.013799301416628097,0.024096710969818524,0.008937305842044668,,,0.021300462537398722,0.051428417181791246,,-0.06343548429607203,-0.021295515019858352,-0.044664464074927135,-0.05713506820677471,0.057084652614950916,1.0
