Timestamp,CPU_Usage_percent,CPU_Avg_percent,RAM_Usage_percent,RAM_Avg_percent,RAM_Used_MB,Disk_Read_MBps,Disk_Write_MBps,Disk_Read_Avg_MBps,Disk_Write_Avg_MBps,Net_Sent_KBps,Net_Recv_KBps,Net_Sent_Avg_KBps,Net_Recv_Avg_KBps
2026-01-12 11:03:01,2.5,2.5,76.4,76.4,12024.74,0.36,0.4,0.36,0.4,0.02,2.26,0.02,2.26
2026-01-12 11:03:06,11.8,7.15,76.5,76.45,12037.53,5.5,0.62,2.93,0.51,0.03,4.07,0.02,3.17
2026-01-12 11:03:11,45.0,19.77,76.6,76.5,12064.53,2.7,1.33,2.86,0.78,0.43,3.73,0.16,3.35
2026-01-12 11:03:16,42.0,25.32,76.8,76.58,12091.56,1.68,0.21,2.56,0.64,0.95,4.23,0.36,3.57
2026-01-12 11:03:21,48.9,30.04,76.9,76.64,12099.96,0.33,0.05,2.11,0.52,0.04,1.86,0.29,3.23
2026-01-12 11:03:26,41.4,31.93,76.9,76.68,12098.89,0.01,0.09,1.76,0.45,0.09,2.34,0.26,3.08
2026-01-12 11:03:31,54.5,35.16,79.2,77.04,12464.88,0.89,0.26,1.64,0.42,4.14,22.46,0.81,5.85
2026-01-12 11:03:36,47.7,36.73,79.9,77.4,12578.8,0.22,1.52,1.46,0.56,5.91,15.53,1.45,7.06
2026-01-12 11:03:41,53.3,38.57,79.3,77.61,12478.7,0.01,0.22,1.3,0.52,0.01,1.73,1.29,6.47
2026-01-12 11:03:46,41.6,38.87,78.4,77.69,12336.3,0.02,0.24,1.17,0.49,5.05,4.7,1.67,6.29
2026-01-12 11:03:51,49.5,39.84,78.2,77.74,12303.41,0.01,1.2,1.07,0.56,0.46,29.45,1.56,8.4
2026-01-12 11:03:56,37.3,39.63,78.2,77.78,12309.18,0.01,0.04,0.98,0.52,0.06,8.05,1.43,8.37
2026-01-12 11:04:01,48.8,40.33,77.8,77.78,12253.02,0.01,0.24,0.9,0.49,0.29,5.86,1.34,8.18
2026-01-12 11:04:06,38.2,40.18,77.7,77.77,12235.89,0.05,0.95,0.84,0.53,0.05,6.08,1.25,8.03
2026-01-12 11:04:11,50.5,40.87,77.8,77.77,12251.14,0.01,0.35,0.79,0.51,0.04,3.76,1.17,7.74
2026-01-12 11:04:16,37.7,40.67,77.5,77.76,12196.53,0.0,0.11,0.74,0.49,0.03,3.87,1.1,7.5
2026-01-12 11:04:21,48.1,41.11,77.4,77.74,12184.28,0.03,0.03,0.7,0.46,0.01,2.57,1.04,7.21
2026-01-12 11:04:26,37.9,40.93,77.6,77.73,12213.1,0.05,0.02,0.66,0.44,0.03,5.09,0.98,7.09
2026-01-12 11:04:31,61.8,42.03,79.1,77.8,12445.32,4.86,7.53,0.88,0.81,28.46,158.71,2.43,15.07
2026-01-12 11:04:36,42.7,42.06,79.7,77.89,12542.34,0.91,2.63,0.88,0.9,12.57,12.88,2.93,14.96
2026-01-12 11:04:41,58.1,42.82,79.8,77.99,12560.68,0.33,1.08,0.86,0.91,30.31,199.78,4.24,23.76
2026-01-12 11:04:46,45.5,42.95,81.1,78.13,12768.86,0.25,2.4,0.83,0.98,46.57,241.6,6.16,33.66
2026-01-12 11:04:51,50.5,43.27,80.1,78.21,12601.99,0.0,0.2,0.79,0.94,0.06,1.81,5.9,32.28
2026-01-12 11:04:56,38.3,43.07,79.1,78.25,12444.75,0.04,0.23,0.76,0.91,0.04,4.29,5.65,31.11
2026-01-12 11:05:01,44.4,43.12,79.1,78.28,12457.64,0.02,1.03,0.73,0.92,0.25,9.42,5.44,30.25
2026-01-12 11:05:06,46.0,43.23,79.2,78.32,12465.45,0.01,0.07,0.7,0.89,0.29,11.95,5.24,29.54
2026-01-12 11:05:11,51.2,43.53,79.0,78.34,12443.4,0.02,0.19,0.68,0.86,2.58,6.74,5.14,28.7
2026-01-12 11:05:16,39.0,43.36,78.6,78.35,12366.34,0.0,0.05,0.65,0.83,1.73,28.69,5.02,28.7
2026-01-12 11:05:21,50.6,43.61,78.4,78.36,12348.31,0.0,1.15,0.63,0.84,0.05,1.35,4.85,27.75
2026-01-12 11:05:26,36.3,43.37,78.5,78.36,12356.01,0.0,0.01,0.61,0.81,0.03,2.37,4.69,26.91
2026-01-12 11:05:31,47.4,43.5,78.6,78.37,12373.52,0.0,0.19,0.59,0.79,0.78,3.87,4.56,26.17
2026-01-12 11:05:36,45.4,43.56,78.4,78.37,12339.62,0.0,0.94,0.57,0.8,0.28,5.24,4.43,25.51
2026-01-12 11:05:41,49.6,43.74,79.0,78.39,12435.29,0.0,0.23,0.56,0.78,4.02,9.47,4.41,25.03
2026-01-12 11:05:46,41.3,43.67,78.2,78.38,12306.48,1.93,0.19,0.6,0.76,4.51,7.19,4.42,24.5
2026-01-12 11:05:51,44.4,43.69,77.5,78.36,12200.83,0.0,1.08,0.58,0.77,0.04,4.06,4.29,23.92
2026-01-12 11:05:56,44.0,43.7,77.5,78.33,12203.17,0.16,0.05,0.57,0.75,0.06,3.13,4.17,23.34
2026-01-12 11:06:01,41.9,43.65,77.6,78.31,12219.67,0.0,0.31,0.55,0.74,1.19,6.05,4.09,22.87
2026-01-12 11:06:06,45.9,43.71,75.8,78.25,11939.32,0.07,0.95,0.54,0.75,0.07,5.72,3.99,22.42
2026-01-12 11:06:11,39.0,43.59,75.8,78.18,11935.08,0.31,0.07,0.53,0.73,0.02,5.47,3.89,21.99
2026-01-12 11:06:16,49.4,43.74,75.8,78.12,11940.18,0.0,1.22,0.52,0.74,0.74,10.14,3.81,21.69
